images transferred
everything loaded
cornet_z_vggface_oneobject
runs created?
=> creating model 'cornet_z'
cornet_z
normalization constant Z is set to 391486.3
Epoch: [0][0/690]	Time 11.844 (11.844)	Data 5.604 (5.604)	Loss 10.0466 (10.0466)	
Epoch: [0][10/690]	Time 0.153 (1.499)	Data 0.000 (0.787)	Loss 12.0570 (11.8132)	
Epoch: [0][20/690]	Time 0.147 (1.165)	Data 0.000 (0.720)	Loss 15.4767 (12.9779)	
Epoch: [0][30/690]	Time 0.905 (1.109)	Data 0.760 (0.759)	Loss 13.4962 (13.1687)	
Epoch: [0][40/690]	Time 1.630 (1.028)	Data 1.482 (0.728)	Loss 17.9046 (13.8544)	
Epoch: [0][50/690]	Time 0.145 (0.997)	Data 0.000 (0.726)	Loss 17.9271 (14.8851)	
Epoch: [0][60/690]	Time 0.912 (0.996)	Data 0.768 (0.745)	Loss 15.3102 (14.9881)	
Epoch: [0][70/690]	Time 0.165 (0.952)	Data 0.000 (0.715)	Loss 20.0424 (15.3834)	
Epoch: [0][80/690]	Time 0.155 (0.958)	Data 0.000 (0.730)	Loss 21.1053 (16.0919)	
Epoch: [0][90/690]	Time 0.185 (0.940)	Data 0.000 (0.720)	Loss 20.9874 (16.6430)	
Epoch: [0][100/690]	Time 0.145 (0.946)	Data 0.000 (0.734)	Loss 18.6785 (16.9632)	
Epoch: [0][110/690]	Time 0.147 (0.918)	Data 0.000 (0.711)	Loss 17.7402 (17.0296)	
Epoch: [0][120/690]	Time 0.144 (0.920)	Data 0.000 (0.718)	Loss 18.8357 (17.1227)	
Epoch: [0][130/690]	Time 0.143 (0.910)	Data 0.000 (0.712)	Loss 20.3033 (17.3357)	
Epoch: [0][140/690]	Time 0.662 (0.911)	Data 0.517 (0.717)	Loss 18.6874 (17.5004)	
Epoch: [0][150/690]	Time 0.145 (0.908)	Data 0.000 (0.716)	Loss 18.1929 (17.5901)	
Epoch: [0][160/690]	Time 1.659 (0.904)	Data 1.503 (0.716)	Loss 18.5853 (17.6492)	
Epoch: [0][170/690]	Time 0.143 (0.898)	Data 0.000 (0.712)	Loss 21.5205 (17.7987)	
Epoch: [0][180/690]	Time 0.390 (0.898)	Data 0.247 (0.713)	Loss 19.1638 (17.9250)	
Epoch: [0][190/690]	Time 0.157 (0.910)	Data 0.000 (0.727)	Loss 17.7614 (17.9170)	
Epoch: [0][200/690]	Time 0.148 (0.897)	Data 0.000 (0.715)	Loss 18.6422 (17.9219)	
Epoch: [0][210/690]	Time 0.144 (0.898)	Data 0.000 (0.718)	Loss 21.1016 (18.0434)	
Epoch: [0][220/690]	Time 0.145 (0.889)	Data 0.000 (0.710)	Loss 21.3249 (18.1669)	
Epoch: [0][230/690]	Time 0.958 (0.899)	Data 0.801 (0.721)	Loss 20.7246 (18.3151)	
Epoch: [0][240/690]	Time 0.159 (0.892)	Data 0.000 (0.715)	Loss 19.1966 (18.3719)	
Epoch: [0][250/690]	Time 0.627 (0.893)	Data 0.481 (0.717)	Loss 20.2942 (18.4357)	
Epoch: [0][260/690]	Time 0.155 (0.890)	Data 0.000 (0.714)	Loss 21.1303 (18.5294)	
Epoch: [0][270/690]	Time 0.158 (0.893)	Data 0.000 (0.718)	Loss 23.1374 (18.6692)	
Epoch: [0][280/690]	Time 0.143 (0.890)	Data 0.000 (0.716)	Loss 24.0604 (18.8440)	
Epoch: [0][290/690]	Time 0.144 (0.894)	Data 0.000 (0.721)	Loss 22.4836 (19.0064)	
Epoch: [0][300/690]	Time 0.156 (0.890)	Data 0.000 (0.718)	Loss 22.6708 (19.1194)	
Epoch: [0][310/690]	Time 0.148 (0.890)	Data 0.000 (0.718)	Loss 24.0361 (19.2603)	
Epoch: [0][320/690]	Time 0.159 (0.885)	Data 0.000 (0.714)	Loss 25.8739 (19.4328)	
Epoch: [0][330/690]	Time 1.469 (0.886)	Data 1.322 (0.716)	Loss 25.4104 (19.6218)	
Epoch: [0][340/690]	Time 0.154 (0.881)	Data 0.000 (0.711)	Loss 24.1842 (19.7835)	
Epoch: [0][350/690]	Time 0.147 (0.886)	Data 0.000 (0.717)	Loss 23.5838 (19.9001)	
Epoch: [0][360/690]	Time 0.144 (0.879)	Data 0.000 (0.711)	Loss 25.2550 (20.0187)	
Epoch: [0][370/690]	Time 0.153 (0.886)	Data 0.000 (0.718)	Loss 26.2771 (20.1774)	
