,sub,age,roi,r2,seed_age,seed_roi
0,NDAREG930XPP,7.995779,lLO,0.6336271044591998,18,lLO
1,NDAREG930XPP,7.995779,rLO,0.5815575942428163,18,lLO
2,NDAREG930XPP,7.995779,lFFA,0.6076462664873968,18,lLO
3,NDAREG930XPP,7.995779,rFFA,0.6425669485485783,18,lLO
4,NDAREG930XPP,7.995779,lOFA,0.5953891857406389,18,lLO
5,NDAREG930XPP,7.995779,rOFA,0.5526851151119399,18,lLO
6,NDAREK255DEE,6.508898,lLO,0.5169324152039193,18,lLO
7,NDAREK255DEE,6.508898,rLO,0.4843903351407644,18,lLO
8,NDAREK255DEE,6.508898,lFFA,0.5626100497951634,18,lLO
9,NDAREK255DEE,6.508898,rFFA,0.48961752492418154,18,lLO
10,NDAREK255DEE,6.508898,lOFA,0.5287788904277353,18,lLO
11,NDAREK255DEE,6.508898,rOFA,0.4722484337239576,18,lLO
12,NDARKG460MWV,7.174309,lLO,0.6727902758954262,18,lLO
13,NDARKG460MWV,7.174309,rLO,0.6828282349468462,18,lLO
14,NDARKG460MWV,7.174309,lFFA,0.6606467149340505,18,lLO
15,NDARKG460MWV,7.174309,rFFA,0.6555087695357107,18,lLO
16,NDARKG460MWV,7.174309,lOFA,0.5369202761644436,18,lLO
17,NDARKG460MWV,7.174309,rOFA,0.6993050250857414,18,lLO
18,NDARAC857HDB,6.975017,lLO,0.714043268948502,18,lLO
19,NDARAC857HDB,6.975017,rLO,0.6971660771605305,18,lLO
20,NDARAC857HDB,6.975017,lFFA,0.6155372109457384,18,lLO
21,NDARAC857HDB,6.975017,rFFA,0.6734813430776838,18,lLO
22,NDARAC857HDB,6.975017,lOFA,0.6652355613675234,18,lLO
23,NDARAC857HDB,6.975017,rOFA,0.6209162502725333,18,lLO
24,NDARAD615WLJ,6.304243,lLO,0.7089910217296133,18,lLO
25,NDARAD615WLJ,6.304243,rLO,0.6236179466441701,18,lLO
26,NDARAD615WLJ,6.304243,lFFA,0.5627654436141873,18,lLO
27,NDARAD615WLJ,6.304243,rFFA,0.563483037891525,18,lLO
28,NDARAD615WLJ,6.304243,lOFA,0.7129668213864483,18,lLO
29,NDARAD615WLJ,6.304243,rOFA,0.5531533004861154,18,lLO
30,NDARBL214YLX,6.218913,lLO,0.6647500208176902,18,lLO
31,NDARBL214YLX,6.218913,rLO,0.6081277452684268,18,lLO
32,NDARBL214YLX,6.218913,lFFA,0.6011243889153545,18,lLO
33,NDARBL214YLX,6.218913,rFFA,0.6125617596679798,18,lLO
34,NDARBL214YLX,6.218913,lOFA,0.6118253061372129,18,lLO
35,NDARBL214YLX,6.218913,rOFA,0.5401558909246011,18,lLO
36,NDARCW497XW2,7.757472,lLO,0.6050408902789739,18,lLO
37,NDARCW497XW2,7.757472,rLO,0.6286397171717472,18,lLO
38,NDARCW497XW2,7.757472,lFFA,0.514826020550353,18,lLO
39,NDARCW497XW2,7.757472,rFFA,0.6606519609380782,18,lLO
40,NDARCW497XW2,7.757472,lOFA,0.582543410339631,18,lLO
41,NDARCW497XW2,7.757472,rOFA,0.5122063792586393,18,lLO
42,NDARDN393BJH,7.90851,lLO,0.5784831530480163,18,lLO
43,NDARDN393BJH,7.90851,rLO,0.5554920318828171,18,lLO
44,NDARDN393BJH,7.90851,lFFA,0.47443020550379406,18,lLO
45,NDARDN393BJH,7.90851,rFFA,0.5112960381029132,18,lLO
46,NDARDN393BJH,7.90851,lOFA,0.5457136974984858,18,lLO
47,NDARDN393BJH,7.90851,rOFA,0.6455935197636842,18,lLO
48,NDAREF888EVV,6.306525,lLO,0.5859524014663572,18,lLO
49,NDAREF888EVV,6.306525,rLO,0.5123923252031491,18,lLO
50,NDAREF888EVV,6.306525,lFFA,0.5052201588819867,18,lLO
51,NDAREF888EVV,6.306525,rFFA,0.4519189960834928,18,lLO
52,NDAREF888EVV,6.306525,lOFA,0.6028526709725401,18,lLO
53,NDAREF888EVV,6.306525,rOFA,0.45407795939643236,18,lLO
54,NDAREL410HHK,19.632101,lLO,0.8228486301405603,18,lLO
55,NDAREL410HHK,19.632101,rLO,0.7786660524393634,18,lLO
56,NDAREL410HHK,19.632101,lFFA,0.6427422344681842,18,lLO
57,NDAREL410HHK,19.632101,rFFA,0.7068794768251893,18,lLO
58,NDAREL410HHK,19.632101,lOFA,0.8257574494256387,18,lLO
59,NDAREL410HHK,19.632101,rOFA,0.751829087761305,18,lLO
60,NDAREV342ABE,19.19895,lLO,0.7123538333405606,18,lLO
61,NDAREV342ABE,19.19895,rLO,0.6701002230675496,18,lLO
62,NDAREV342ABE,19.19895,lFFA,0.48998051682256505,18,lLO
63,NDAREV342ABE,19.19895,rFFA,0.46380398381093335,18,lLO
64,NDAREV342ABE,19.19895,lOFA,0.6434904964647588,18,lLO
65,NDAREV342ABE,19.19895,rOFA,0.6591370743721832,18,lLO
66,NDAREX336AC1,6.103924,lLO,0.6820361406990656,18,lLO
67,NDAREX336AC1,6.103924,rLO,0.663812764834247,18,lLO
68,NDAREX336AC1,6.103924,lFFA,0.6240108174183857,18,lLO
69,NDAREX336AC1,6.103924,rFFA,0.6457242209591129,18,lLO
70,NDAREX336AC1,6.103924,lOFA,0.7095146744827019,18,lLO
71,NDAREX336AC1,6.103924,rOFA,0.6482818789476545,18,lLO
72,NDARFE372VHL,7.697353,lLO,0.7425782123872208,18,lLO
73,NDARFE372VHL,7.697353,rLO,0.695869862849217,18,lLO
74,NDARFE372VHL,7.697353,lFFA,0.6493046133971434,18,lLO
75,NDARFE372VHL,7.697353,rFFA,0.749873751986312,18,lLO
76,NDARFE372VHL,7.697353,lOFA,0.6320175726833913,18,lLO
77,NDARFE372VHL,7.697353,rOFA,0.6780693504140324,18,lLO
78,NDARFM749LF3,7.664955,lLO,0.5300553213782143,18,lLO
79,NDARFM749LF3,7.664955,rLO,0.5415113248117316,18,lLO
80,NDARFM749LF3,7.664955,lFFA,0.4978880628728506,18,lLO
81,NDARFM749LF3,7.664955,rFFA,0.536187621653779,18,lLO
82,NDARFM749LF3,7.664955,lOFA,0.4900181286162072,18,lLO
83,NDARFM749LF3,7.664955,rOFA,0.580898962198632,18,lLO
84,NDARFV061AR5,19.732831,lLO,0.7305533092596692,18,lLO
85,NDARFV061AR5,19.732831,rLO,0.6871889611963137,18,lLO
86,NDARFV061AR5,19.732831,lFFA,0.646403520483059,18,lLO
87,NDARFV061AR5,19.732831,rFFA,0.5459713541200867,18,lLO
88,NDARFV061AR5,19.732831,lOFA,0.7544158180248509,18,lLO
89,NDARFV061AR5,19.732831,rOFA,0.7507784743329643,18,lLO
90,NDARGY542TJ5,6.249372,lLO,0.6441261163075575,18,lLO
91,NDARGY542TJ5,6.249372,rLO,0.6597566657076808,18,lLO
92,NDARGY542TJ5,6.249372,lFFA,0.6445194346174852,18,lLO
93,NDARGY542TJ5,6.249372,rFFA,0.6042488043165302,18,lLO
94,NDARGY542TJ5,6.249372,lOFA,0.5997637596492028,18,lLO
95,NDARGY542TJ5,6.249372,rOFA,0.6602147009412463,18,lLO
96,NDARGZ059UVR,5.663016,lLO,0.6439897100820793,18,lLO
97,NDARGZ059UVR,5.663016,rLO,0.6587945327009346,18,lLO
98,NDARGZ059UVR,5.663016,lFFA,0.6217202887858809,18,lLO
99,NDARGZ059UVR,5.663016,rFFA,0.6416927952506287,18,lLO
100,NDARGZ059UVR,5.663016,lOFA,0.5993184709669301,18,lLO
101,NDARGZ059UVR,5.663016,rOFA,0.6675927651018414,18,lLO
102,NDARHG188YE9,6.468514,lLO,0.5863827335091089,18,lLO
103,NDARHG188YE9,6.468514,rLO,0.47464129307255687,18,lLO
104,NDARHG188YE9,6.468514,lFFA,0.40241436270390785,18,lLO
105,NDARHG188YE9,6.468514,rFFA,0.42478952464823183,18,lLO
106,NDARHG188YE9,6.468514,lOFA,0.4577308027634981,18,lLO
107,NDARHG188YE9,6.468514,rOFA,0.4671595417051271,18,lLO
108,NDARHY099CUL,5.636208,lLO,0.5550497031153895,18,lLO
109,NDARHY099CUL,5.636208,rLO,0.5857695159696452,18,lLO
110,NDARHY099CUL,5.636208,lFFA,0.5532449607459627,18,lLO
111,NDARHY099CUL,5.636208,rFFA,0.5361992063307909,18,lLO
112,NDARHY099CUL,5.636208,lOFA,0.48792472198480963,18,lLO
113,NDARHY099CUL,5.636208,rOFA,0.5163631075138129,18,lLO
114,NDARJL861WTP,6.960757,lLO,0.5624843481355284,18,lLO
115,NDARJL861WTP,6.960757,rLO,0.5715832834918466,18,lLO
116,NDARJL861WTP,6.960757,lFFA,0.6141922917533265,18,lLO
117,NDARJL861WTP,6.960757,rFFA,0.528767118717867,18,lLO
118,NDARJL861WTP,6.960757,lOFA,0.43246547988092476,18,lLO
119,NDARJL861WTP,6.960757,rOFA,0.5467305469872178,18,lLO
120,NDARKN633WZA,19.793178,lLO,0.7596311560798611,18,lLO
121,NDARKN633WZA,19.793178,rLO,0.6330736827819741,18,lLO
122,NDARKN633WZA,19.793178,lFFA,0.7941931124133231,18,lLO
123,NDARKN633WZA,19.793178,rFFA,0.5584116437218599,18,lLO
124,NDARKN633WZA,19.793178,lOFA,0.6937242494699504,18,lLO
125,NDARKN633WZA,19.793178,rOFA,0.6802951188202245,18,lLO
126,NDARLB162XP2,6.456992,lLO,0.6024385748008846,18,lLO
127,NDARLB162XP2,6.456992,rLO,0.5783971187040351,18,lLO
128,NDARLB162XP2,6.456992,lFFA,0.5424878357392711,18,lLO
129,NDARLB162XP2,6.456992,rFFA,0.6028670480115258,18,lLO
130,NDARLB162XP2,6.456992,lOFA,0.6279099082995514,18,lLO
131,NDARLB162XP2,6.456992,rOFA,0.5623160739869644,18,lLO
132,NDARLK551KXD,7.916381,lLO,0.671565192857747,18,lLO
133,NDARLK551KXD,7.916381,rLO,0.6620563774023689,18,lLO
