stim1,stim2
AU40_46.jpg,AU40_46.jpg
AU40_46.jpg,AU25_16.jpg
AU40_46.jpg,AU22_11.jpg
AU40_46.jpg,AU28_08.jpg
AU40_46.jpg,AU13_02.jpg
AU40_46.jpg,AU13_25.jpg
AU40_46.jpg,AU25_25.jpg
AU40_46.jpg,AU07_31.jpg
AU40_46.jpg,AU10_16.jpg
AU40_46.jpg,AU26_07.jpg
AU40_46.jpg,AU10_27.jpg
AU40_46.jpg,AU17_16.jpg
AU40_46.jpg,AU37_11.jpg
AU40_46.jpg,AU16_30.jpg
AU40_46.jpg,AU22_18.jpg
AU25_16.jpg,AU25_16.jpg
AU25_16.jpg,AU22_11.jpg
AU25_16.jpg,AU28_08.jpg
AU25_16.jpg,AU13_02.jpg
AU25_16.jpg,AU13_25.jpg
AU25_16.jpg,AU25_25.jpg
AU25_16.jpg,AU07_31.jpg
AU25_16.jpg,AU10_16.jpg
AU25_16.jpg,AU26_07.jpg
AU25_16.jpg,AU10_27.jpg
AU25_16.jpg,AU17_16.jpg
AU25_16.jpg,AU37_11.jpg
AU25_16.jpg,AU16_30.jpg
AU25_16.jpg,AU22_18.jpg
AU22_11.jpg,AU22_11.jpg
AU22_11.jpg,AU28_08.jpg
AU22_11.jpg,AU13_02.jpg
AU22_11.jpg,AU13_25.jpg
AU22_11.jpg,AU25_25.jpg
AU22_11.jpg,AU07_31.jpg
AU22_11.jpg,AU10_16.jpg
AU22_11.jpg,AU26_07.jpg
AU22_11.jpg,AU10_27.jpg
AU22_11.jpg,AU17_16.jpg
AU22_11.jpg,AU37_11.jpg
AU22_11.jpg,AU16_30.jpg
AU22_11.jpg,AU22_18.jpg
AU28_08.jpg,AU28_08.jpg
AU28_08.jpg,AU13_02.jpg
AU28_08.jpg,AU13_25.jpg
AU28_08.jpg,AU25_25.jpg
AU28_08.jpg,AU07_31.jpg
AU28_08.jpg,AU10_16.jpg
AU28_08.jpg,AU26_07.jpg
AU28_08.jpg,AU10_27.jpg
AU28_08.jpg,AU17_16.jpg
AU28_08.jpg,AU37_11.jpg
AU28_08.jpg,AU16_30.jpg
AU28_08.jpg,AU22_18.jpg
AU13_02.jpg,AU13_02.jpg
AU13_02.jpg,AU13_25.jpg
AU13_02.jpg,AU25_25.jpg
AU13_02.jpg,AU07_31.jpg
AU13_02.jpg,AU10_16.jpg
AU13_02.jpg,AU26_07.jpg
AU13_02.jpg,AU10_27.jpg
AU13_02.jpg,AU17_16.jpg
AU13_02.jpg,AU37_11.jpg
AU13_02.jpg,AU16_30.jpg
AU13_02.jpg,AU22_18.jpg
AU13_25.jpg,AU13_25.jpg
AU13_25.jpg,AU25_25.jpg
AU13_25.jpg,AU07_31.jpg
AU13_25.jpg,AU10_16.jpg
AU13_25.jpg,AU26_07.jpg
AU13_25.jpg,AU10_27.jpg
AU13_25.jpg,AU17_16.jpg
AU13_25.jpg,AU37_11.jpg
AU13_25.jpg,AU16_30.jpg
AU13_25.jpg,AU22_18.jpg
AU25_25.jpg,AU25_25.jpg
AU25_25.jpg,AU07_31.jpg
AU25_25.jpg,AU10_16.jpg
AU25_25.jpg,AU26_07.jpg
AU25_25.jpg,AU10_27.jpg
AU25_25.jpg,AU17_16.jpg
AU25_25.jpg,AU37_11.jpg
AU25_25.jpg,AU16_30.jpg
AU25_25.jpg,AU22_18.jpg
AU07_31.jpg,AU07_31.jpg
AU07_31.jpg,AU10_16.jpg
AU07_31.jpg,AU26_07.jpg
AU07_31.jpg,AU10_27.jpg
AU07_31.jpg,AU17_16.jpg
AU07_31.jpg,AU37_11.jpg
AU07_31.jpg,AU16_30.jpg
AU07_31.jpg,AU22_18.jpg
AU10_16.jpg,AU10_16.jpg
AU10_16.jpg,AU26_07.jpg
AU10_16.jpg,AU10_27.jpg
AU10_16.jpg,AU17_16.jpg
AU10_16.jpg,AU37_11.jpg
AU10_16.jpg,AU16_30.jpg
AU10_16.jpg,AU22_18.jpg
AU26_07.jpg,AU26_07.jpg
AU26_07.jpg,AU10_27.jpg
AU26_07.jpg,AU17_16.jpg
AU26_07.jpg,AU37_11.jpg
AU26_07.jpg,AU16_30.jpg
AU26_07.jpg,AU22_18.jpg
AU10_27.jpg,AU10_27.jpg
AU10_27.jpg,AU17_16.jpg
AU10_27.jpg,AU37_11.jpg
AU10_27.jpg,AU16_30.jpg
AU10_27.jpg,AU22_18.jpg
AU17_16.jpg,AU17_16.jpg
AU17_16.jpg,AU37_11.jpg
AU17_16.jpg,AU16_30.jpg
AU17_16.jpg,AU22_18.jpg
AU37_11.jpg,AU37_11.jpg
AU37_11.jpg,AU16_30.jpg
AU37_11.jpg,AU22_18.jpg
AU16_30.jpg,AU16_30.jpg
AU16_30.jpg,AU22_18.jpg
AU22_18.jpg,AU22_18.jpg
